"metric","PRHC_ED_visits_n","PRHC_ED_visits_pct","last_12_months_start_date","last_12_months_end_date"
"total",441,"100.00%",2023-07-01,2024-06-01
"female",175,"39.68%",2023-07-01,2024-06-01
"male",266,"60.32%",2023-07-01,2024-06-01
"age_0_24",97,"22.00%",2023-07-01,2024-06-01
"age_25_44",247,"56.01%",2023-07-01,2024-06-01
"age_45_64",63,"14.29%",2023-07-01,2024-06-01
"age_65_over",20,"4.54%",2023-07-01,2024-06-01
"time_08h_16h",130,"29.48%",2023-07-01,2024-06-01
"time_16h_00h",216,"48.98%",2023-07-01,2024-06-01
"time_00h_08h",93,"21.09%",2023-07-01,2024-06-01
