"month","ED_visits_PPH"
2019-04-01,55
2019-05-01,50
2019-06-01,51
2019-07-01,32
2019-08-01,39
2019-09-01,30
2019-10-01,38
2019-11-01,24
2019-12-01,50
2020-01-01,42
2020-02-01,46
2020-03-01,49
2020-04-01,30
2020-05-01,48
2020-06-01,39
2020-07-01,44
2020-08-01,46
2020-09-01,49
2020-10-01,56
2020-11-01,49
2020-12-01,38
2021-01-01,42
2021-02-01,27
2021-03-01,29
2021-04-01,48
2021-05-01,72
2021-06-01,67
2021-07-01,78
2021-08-01,49
2021-09-01,51
2021-10-01,52
2021-11-01,52
2021-12-01,46
2022-01-01,30
2022-02-01,52
2022-03-01,40
2022-04-01,51
2022-05-01,50
2022-06-01,62
