"month","n_ED_visits_PPH"
2018-01-01,21
2018-02-01,36
2018-03-01,47
2018-04-01,39
2018-05-01,27
2018-06-01,41
2018-07-01,40
2018-08-01,36
2018-09-01,44
2018-10-01,33
2018-11-01,39
2018-12-01,62
2019-01-01,37
2019-02-01,39
2019-03-01,58
2019-04-01,55
2019-05-01,50
2019-06-01,51
2019-07-01,32
2019-08-01,39
2019-09-01,30
2019-10-01,38
2019-11-01,24
2019-12-01,50
2020-01-01,42
2020-02-01,46
2020-03-01,49
2020-04-01,30
2020-05-01,48
2020-06-01,39
2020-07-01,44
2020-08-01,46
2020-09-01,49
2020-10-01,56
2020-11-01,49
2020-12-01,38
2021-01-01,42
2021-02-01,27
2021-03-01,29
2021-04-01,48
2021-05-01,72
2021-06-01,67
2021-07-01,78
2021-08-01,49
2021-09-01,50
2021-10-01,52
2021-11-01,52
2021-12-01,46
2022-01-01,30
2022-02-01,52
2022-03-01,40
2022-04-01,51
2022-05-01,50
2022-06-01,62
2022-07-01,58
2022-08-01,45
2022-09-01,34
2022-10-01,46
2022-11-01,34
2022-12-01,35
2023-01-01,33
2023-02-01,31
2023-03-01,34
2023-04-01,38
2023-05-01,25
2023-06-01,32
2023-07-01,36
2023-08-01,50
2023-09-01,37
2023-10-01,37
2023-11-01,36
2023-12-01,35
2024-01-01,31
2024-02-01,38
2024-03-01,48
2024-04-01,31
2024-05-01,36
2024-06-01,27
