"month","n_ED_visits_PRHC"
2018-01-01,25
2018-02-01,30
2018-03-01,46
2018-04-01,38
2018-05-01,32
2018-06-01,38
2018-07-01,35
2018-08-01,36
2018-09-01,39
2018-10-01,34
2018-11-01,46
2018-12-01,60
2019-01-01,40
2019-02-01,40
2019-03-01,65
2019-04-01,53
2019-05-01,47
2019-06-01,45
2019-07-01,28
2019-08-01,36
2019-09-01,32
2019-10-01,40
2019-11-01,26
2019-12-01,51
2020-01-01,45
2020-02-01,47
2020-03-01,51
2020-04-01,30
2020-05-01,44
2020-06-01,41
2020-07-01,48
2020-08-01,45
2020-09-01,52
2020-10-01,55
2020-11-01,53
2020-12-01,35
2021-01-01,49
2021-02-01,31
2021-03-01,26
2021-04-01,45
2021-05-01,70
2021-06-01,70
2021-07-01,80
2021-08-01,51
2021-09-01,49
2021-10-01,57
2021-11-01,52
2021-12-01,42
2022-01-01,33
2022-02-01,54
2022-03-01,49
2022-04-01,53
2022-05-01,48
2022-06-01,67
2022-07-01,52
2022-08-01,46
2022-09-01,37
2022-10-01,47
2022-11-01,39
2022-12-01,33
2023-01-01,36
2023-02-01,32
2023-03-01,40
2023-04-01,37
2023-05-01,24
2023-06-01,35
2023-07-01,30
2023-08-01,55
2023-09-01,33
2023-10-01,40
2023-11-01,37
2023-12-01,35
2024-01-01,34
2024-02-01,36
2024-03-01,43
2024-04-01,31
2024-05-01,37
2024-06-01,30
2024-07-01,47
2024-08-01,59
2024-09-01,59
2024-10-01,37
2024-11-01,34
2024-12-01,23
2025-01-01,24
2025-02-01,23
2025-03-01,31
2025-04-01,24
2025-05-01,36
2025-06-01,37
2025-07-01,34
2025-08-01,29
2025-09-01,35
